type,name,category_or_section,status,path_or_need
have,Room Drops,See HTML review,Available,WHAT_WE_HAVE_AND_STILL_NEED_VISUAL.html
have,Chair Drop / HORIZONS Connect,See HTML review,Available,WHAT_WE_HAVE_AND_STILL_NEED_VISUAL.html
have,HORIZONS House / Reception Display,See HTML review,Available,WHAT_WE_HAVE_AND_STILL_NEED_VISUAL.html
have,Lanyards / Namecards,See HTML review,Available,WHAT_WE_HAVE_AND_STILL_NEED_VISUAL.html
have,Team Clothing,See HTML review,Available,WHAT_WE_HAVE_AND_STILL_NEED_VISUAL.html
have,Signage / Wayfinding,See HTML review,Available,WHAT_WE_HAVE_AND_STILL_NEED_VISUAL.html
have,HORIZONS Hall Layouts,See HTML review,Available,WHAT_WE_HAVE_AND_STILL_NEED_VISUAL.html
have,Menus / Podcast / Source Documents,See HTML review,Available,WHAT_WE_HAVE_AND_STILL_NEED_VISUAL.html
have,Logos / Brand,See HTML review,Available,WHAT_WE_HAVE_AND_STILL_NEED_VISUAL.html
missing,StudioBinder call sheet example,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Current production call sheet,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Weather call sheet reference,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Final master schedule,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Ben’s document,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Production contact hierarchy,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Crew call sheet layout,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Cvent agenda export,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Cvent speaker/session export,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Cvent venue/location list,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Cvent meal/restaurant schedule,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Cvent attendee-facing copy,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Speaker list,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Speaker bios,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Speaker session titles,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Speaker session descriptions,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Speaker deck copy,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Speaker notes,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Speaker rehearsal schedule,,Partially Added,Detailed Monday 8 June and Tuesday 9 June rehearsal records added from Samuel note. Final TBC HORIZONS Hall timing/location still needs confirmation.
missing,Horizons Hall rehearsal schedule,,Partially Added,Detailed Monday 8 June and Tuesday 9 June rehearsal records added from Samuel note. Final TBC HORIZONS Hall timing/location still needs confirmation.
missing,Horizons Studio rehearsal schedule,,Partially Added,Detailed Monday 8 June and Tuesday 9 June rehearsal records added from Samuel note. Final TBC HORIZONS Hall timing/location still needs confirmation.
missing,Technical rehearsal schedule,,Partially Added,Detailed Monday 8 June and Tuesday 9 June rehearsal records added from Samuel note. Final TBC HORIZONS Hall timing/location still needs confirmation.
missing,Gift card artwork,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Wayfinding artwork,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Easel board artwork,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,A1 board artwork,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Natural totem artwork,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Signage placement map,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Tote bag artwork,,Complete,Tote bag reference already present and confirmed in room-drop brief.
missing,Notebook artwork,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Room drop references,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Print specs,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Clownfish setup positioning instructions,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Clownfish staff list,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Clownfish roles/responsibilities,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,I.N.C staff list,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,I.N.C roles/responsibilities,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,BeGood staff/contact details,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Hotel key contacts,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Supplier contact list,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,DJ Lindsay Evans details,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,DJ Paris Taylor details,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Connor Reeves details,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Christina Hizon details,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Dan the Man details,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Performer arrival times,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Sound check times,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Performance times,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Technical riders,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Hospitality requirements,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Curated playlist links,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Playlist names,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Music usage schedule,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Start/stop ownership,,File Needed,Add file/link when available. Keep unresolved until confirmed.
missing,Backup playlist plan,,File Needed,Add file/link when available. Keep unresolved until confirmed.
